portfolio,fleet_gw,committed_mw,accredited_mw,revenue,dispatch_cost,npc_cost,net_value,net_per_mw,depth
DVFS Only,1.0,175.0,161.0,19608022.560000002,568779.7500000001,0.0,19039242.810000002,108795.67320000002,0.175
DVFS Only,2.0,350.0,322.0,39216045.120000005,1137559.5000000002,0.0,38078485.620000005,108795.67320000002,0.175
DVFS Only,5.0,875.0,805.0,98040112.80000001,2843898.7500000005,0.0,95196214.05000001,108795.67320000002,0.175
DVFS Only,10.0,1750.0,1610.0,196080225.60000002,5687797.500000001,0.0,190392428.10000002,108795.67320000002,0.175
DVFS Only,15.0,2625.0,2415.0,294120338.40000004,8531696.250000002,0.0,285588642.15000004,108795.67320000002,0.175
DVFS Only,20.0,3500.0,3220.0,392160451.20000005,11375595.000000002,0.0,380784856.20000005,108795.67320000002,0.175
DVFS + Battery,1.0,175.0,161.0,19608022.560000002,568779.7500000001,0.0,-7210757.189999998,-41204.32679999999,0.175
DVFS + Battery,2.0,350.0,322.0,39216045.120000005,1137559.5000000002,0.0,-14421514.379999995,-41204.32679999999,0.175
DVFS + Battery,5.0,875.0,805.0,98040112.80000001,2843898.7500000005,0.0,-36053785.94999999,-41204.32679999999,0.175
DVFS + Battery,10.0,1750.0,1610.0,196080225.60000002,5687797.500000001,0.0,-72107571.89999998,-41204.32679999999,0.175
DVFS + Battery,15.0,2625.0,2415.0,294120338.40000004,8531696.250000002,0.0,-108161357.84999996,-41204.32679999999,0.175
DVFS + Battery,20.0,3500.0,3220.0,392160451.20000005,11375595.000000002,0.0,-144215143.79999995,-41204.32679999999,0.175
DVFS + Spatial,1.0,203.77164555264997,187.46991390843797,22831765.846198197,1722836.422823059,0.0,21108929.423375137,103591.10251146826,0.20377164555264998
DVFS + Spatial,2.0,407.54329110529994,374.93982781687595,45663531.692396395,3445672.845646118,0.0,42217858.846750274,103591.10251146826,0.20377164555264998
DVFS + Spatial,5.0,1018.8582277632499,937.34956954219,114158829.230991,8614182.114115296,0.0,105544647.11687571,103591.10251146827,0.20377164555264998
DVFS + Spatial,10.0,2037.7164555264999,1874.69913908438,228317658.461982,17228364.228230592,0.0,211089294.23375142,103591.10251146827,0.20377164555264998
DVFS + Spatial,15.0,3056.57468328975,2812.04870862657,342476487.69297296,25842546.342345886,0.0,316633941.35062706,103591.10251146824,0.20377164555264998
DVFS + Spatial,20.0,4075.4329110529998,3749.39827816876,456635316.923964,34456728.456461184,0.0,422178588.46750283,103591.10251146827,0.20377164555264998
Full Stack,1.0,203.77164555264997,187.46991390843797,22831765.846198197,1722836.422823059,0.0,-9456817.409522358,-46408.897488531744,0.20377164555264998
Full Stack,2.0,407.54329110529994,374.93982781687595,45663531.692396395,3445672.845646118,0.0,-18913634.819044717,-46408.897488531744,0.20377164555264998
Full Stack,5.0,1018.8582277632499,937.34956954219,114158829.230991,8614182.114115296,0.0,-47284087.04761177,-46408.89748853172,0.20377164555264998
Full Stack,10.0,2037.7164555264999,1874.69913908438,228317658.461982,17228364.228230592,0.0,-94568174.09522355,-46408.89748853172,0.20377164555264998
Full Stack,15.0,3056.57468328975,2812.04870862657,342476487.69297296,25842546.342345886,0.0,-141852261.14283544,-46408.897488531766,0.20377164555264998
Full Stack,20.0,4075.4329110529998,3749.39827816876,456635316.923964,34456728.456461184,0.0,-189136348.1904471,-46408.89748853172,0.20377164555264998
