year,latency_min,crisis_spread,net_value,scenario
2025,15.0,32.773213976963376,-692.7814125402722,Conservative
2026,12.75,46.262696510624124,-604.7236355979906,Conservative
2027,10.837499999999999,60.18963673427166,-519.017769061579,Conservative
2028,9.211875,74.58064786113925,-435.0011831210316,Conservative
2029,7.830093749999999,89.46357895854715,-352.09049038423416,Conservative
2030,6.6555796874999995,104.86757863673836,-269.76874510942304,Conservative
2031,5.657242734374999,120.82316188423394,-187.5745149685751,Conservative
2032,4.808656324218749,137.36228020779106,-105.09254212016171,Conservative
2033,4.087357875585937,154.51839524293916,-21.945752735081726,Conservative
2034,3.474254194248046,172.3265560093495,62.21158987568533,Conservative
2035,2.953116065110839,190.82347999399508,147.69976278535705,Conservative
2025,15.0,32.773213976963376,-692.7814125402722,Central
2026,12.0,52.32481657342413,-573.8679591921048,Central
2027,9.600000000000001,73.10195246803568,-457.2652050569792,Central
2028,7.6800000000000015,95.20943622284136,-341.2541193315475,Central
2029,6.144000000000001,118.7603321268843,-224.34970872915596,Central
2030,4.915200000000001,143.8766168831263,-105.24561283233183,Central
2031,3.9321600000000014,170.6898952561459,17.230911083711334,Central
2032,3.145728000000001,199.3421729185597,144.15574689368617,Central
2033,2.516582400000001,229.98669107312804,276.53813306159367,Central
2034,2.013265920000001,262.7888277936403,415.34570419588607,Central
2035,1.6106127360000009,297.92707142310024,561.5254646921593,Central
2025,15.0,32.773213976963376,-692.7814125402722,Aggressive
2026,11.25,60.407643323824146,-535.4840203314354,Aggressive
2027,8.4375,90.88417131891569,-378.1966174405046,Aggressive
2028,6.328125,124.55333045749356,-217.02342577079563,Aggressive
2029,4.74609375,161.80752752109464,-48.55892921211263,Aggressive
2030,3.5595703125,203.08607228415377,130.2924039834839,Aggressive
2031,2.669677734375,248.8808095895695,322.4582614707027,Aggressive
2032,2.00225830078125,299.74242719900883,530.8128557778322,Aggressive
2033,1.5016937255859375,356.28752051240696,758.271396319426,Aggressive
2034,1.1262702941894531,419.20650498242264,1007.8706820012117,Aggressive
2035,0.8447027206420898,489.2724779486695,1282.8404527764674,Aggressive
