D2,D5,mean_depth,median_depth,p5_depth,pct_constrained
0.1,0.5,0.1977,0.19866,0.17646,100.0
0.1778,0.5,0.21536,0.21707,0.17759,100.0
0.2556,0.5,0.23301,0.23548,0.17872,100.0
0.3333,0.5,0.25067,0.25388,0.17986,100.0
0.4111,0.5,0.26832,0.27229,0.18099,100.0
0.4889,0.5,0.28598,0.29069,0.18212,100.0
0.5667,0.5,0.30364,0.3091,0.18325,100.0
0.6444,0.5,0.32129,0.3275,0.18439,100.0
0.7222,0.5,0.33895,0.34591,0.18552,100.0
0.8,0.5,0.3566,0.36432,0.18665,100.0
0.1,0.5333,0.19921,0.20024,0.17655,100.0
0.1778,0.5333,0.21805,0.21987,0.17776,100.0
0.2556,0.5333,0.23688,0.23951,0.17897,100.0
0.3333,0.5333,0.25571,0.25914,0.18018,100.0
0.4111,0.5333,0.27455,0.27877,0.18139,100.0
0.4889,0.5333,0.29338,0.29841,0.1826,100.0
0.5667,0.5333,0.31221,0.31804,0.1838,100.0
0.6444,0.5333,0.33105,0.33767,0.18501,100.0
0.7222,0.5333,0.34988,0.3573,0.18622,100.0
0.8,0.5333,0.36871,0.37694,0.18743,100.0
0.1,0.5667,0.20073,0.20182,0.17665,100.0
0.1778,0.5667,0.22074,0.22268,0.17793,100.0
0.2556,0.5667,0.24075,0.24354,0.17922,100.0
0.3333,0.5667,0.26076,0.2644,0.1805,100.0
0.4111,0.5667,0.28077,0.28526,0.18179,100.0
0.4889,0.5667,0.30078,0.30612,0.18307,100.0
0.5667,0.5667,0.32079,0.32698,0.18435,100.0
0.6444,0.5667,0.3408,0.34784,0.18564,100.0
0.7222,0.5667,0.36081,0.3687,0.18692,100.0
0.8,0.5667,0.38082,0.38956,0.18821,100.0
0.1,0.6,0.20224,0.2034,0.17675,100.0
0.1778,0.6,0.22343,0.22548,0.17811,100.0
0.2556,0.6,0.24462,0.24757,0.17947,100.0
0.3333,0.6,0.2658,0.26966,0.18083,100.0
0.4111,0.6,0.28699,0.29174,0.18219,100.0
0.4889,0.6,0.30818,0.31383,0.18354,100.0
0.5667,0.6,0.32936,0.33592,0.1849,100.0
0.6444,0.6,0.35055,0.358,0.18626,100.0
0.7222,0.6,0.37174,0.38009,0.18762,100.0
0.8,0.6,0.39293,0.40218,0.18898,100.0
0.1,0.6333,0.20375,0.20497,0.17684,100.0
0.1778,0.6333,0.22612,0.22829,0.17828,100.0
0.2556,0.6333,0.24848,0.2516,0.17971,100.0
0.3333,0.6333,0.27085,0.27492,0.18115,100.0
0.4111,0.6333,0.29321,0.29823,0.18258,100.0
0.4889,0.6333,0.31558,0.32154,0.18402,100.0
0.5667,0.6333,0.33794,0.34486,0.18545,100.0
0.6444,0.6333,0.3603,0.36817,0.18689,100.0
0.7222,0.6333,0.38267,0.39149,0.18832,100.0
0.8,0.6333,0.40503,0.4148,0.18976,100.0
0.1,0.6667,0.20527,0.20655,0.17694,100.0
0.1778,0.6667,0.22881,0.23109,0.17845,100.0
0.2556,0.6667,0.25235,0.25563,0.17996,100.0
0.3333,0.6667,0.27589,0.28018,0.18147,100.0
0.4111,0.6667,0.29943,0.30472,0.18298,100.0
0.4889,0.6667,0.32297,0.32926,0.18449,100.0
0.5667,0.6667,0.34652,0.3538,0.186,100.0
0.6444,0.6667,0.37006,0.37834,0.18752,100.0
0.7222,0.6667,0.3936,0.40288,0.18903,100.0
0.8,0.6667,0.41714,0.42742,0.19054,100.0
0.1,0.7,0.20678,0.20813,0.17704,100.0
0.1778,0.7,0.2315,0.2339,0.17863,100.0
0.2556,0.7,0.25622,0.25967,0.18021,100.0
0.3333,0.7,0.28094,0.28543,0.1818,100.0
0.4111,0.7,0.30565,0.3112,0.18338,100.0
0.4889,0.7,0.33037,0.33697,0.18497,100.0
0.5667,0.7,0.35509,0.36274,0.18656,100.0
0.6444,0.7,0.37981,0.38851,0.18814,100.0
0.7222,0.7,0.40453,0.41427,0.18973,100.0
0.8,0.7,0.42925,0.44004,0.19131,100.0
0.1,0.7333,0.20829,0.20971,0.17714,100.0
0.1778,0.7333,0.23419,0.2367,0.1788,100.0
0.2556,0.7333,0.26009,0.2637,0.18046,100.0
0.3333,0.7333,0.28598,0.29069,0.18212,100.0
0.4111,0.7333,0.31188,0.31769,0.18378,100.0
0.4889,0.7333,0.33777,0.34468,0.18544,100.0
0.5667,0.7333,0.36367,0.37168,0.18711,100.0
0.6444,0.7333,0.38956,0.39867,0.18877,100.0
0.7222,0.7333,0.41546,0.42567,0.19043,100.0
0.8,0.7333,0.44135,0.45266,0.19209,100.0
0.1,0.7667,0.20981,0.21129,0.17723,100.0
0.1778,0.7667,0.23688,0.23951,0.17897,100.0
0.2556,0.7667,0.26395,0.26773,0.18071,100.0
