parameter,low_val,central_val,high_val,depth_at_low,depth_at_central,depth_at_high,swing,abs_swing
D2,0.1,0.33,0.8,0.20451,0.27239,0.41109,0.20658,0.20658
D4,0.33,0.5,0.67,0.23927,0.27239,0.3055,0.06622,0.06622
D5,0.5,0.65,0.8,0.24991,0.27239,0.29486,0.04495,0.04495
D3,0.8,0.88,0.92,0.26353,0.27239,0.27681,0.01328,0.01328
D1,0.945,0.99,0.995,0.26796,0.27239,0.27288,0.00492,0.00492
E2,0.99,0.995,1.0,0.2719,0.27239,0.27287,0.00098,0.00098
E1,0.995,0.997,0.999,0.27219,0.27239,0.27258,0.00039,0.00039
S1,0.7,0.7,0.7,0.27239,0.27239,0.27239,0.0,0.0
S2a,0.6,0.8,0.95,0.27239,0.27239,0.27239,0.0,0.0
S2b,0.85,0.9,0.95,0.27239,0.27239,0.27239,0.0,0.0
