name,county,state,full_fips,current_mw,construction_mw,planned_mw,current_plus_construction_mw,total_mw,rto,pricing_zone,interconnection,data_availability,migration_role,,,,,,,,,,,
"Loudoun County, VA",Loudoun,Virginia,51107,5427.95,1006,6182,6433.95,12615.95,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Carson County, TX",Carson,Texas,48065,205,600,10400,805,11205,ERCOT,LZ_WEST,ERCOT,public_settlement_point,cross_ic_destination,,,,,Row Labels,Sum of current_mw,Sum of const_mw,Sum of planned_mw,Sum of total_mw,const_mw vs. current_mw ratio,planned_mw vs. current_mw ratio
"Maricopa County, AZ",Maricopa,Arizona,4013,2269.6,1149.6,5318.9,3419.2,8738.1,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,AEP,3506.6,3038.3,6544.5,13089.4,0.866451834,1.866337763
"Lea County, NM",Lea,New Mexico,35025,2,0,7000,2,7002,SPP,SPP_HUB,Eastern,public_hub,cross_ic_destination,,,,,APS,1.8,0,2656,2657.8,0,1475.555556
"Prince William County, VA",Prince William,Virginia,51153,1855.4,992,3616,2847.4,6463.4,PJM,DOM,Eastern,public_zonal,same_ic,,,,,BGE,74.65,72,1837,1983.65,0.964501005,24.60817147
"Storey County, NV",Storey,Nevada,32029,285,821,5049,1106,6155,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,COMED,1644.48,979.4,6234.8,8858.68,0.595568204,3.791350457
"Millard County, UT",Millard,Utah,49027,0,200,5750,200,5950,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,DOM,9430.7,4085,29980.2,43495.9,0.433159787,3.179000498
"Hood County, TX",Hood,Texas,48221,300,0,5090,300,5390,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,DPL,7.3,0,1200,1207.3,0,164.3835616
"Webb County, TX",Webb,Texas,48479,0.65,300,4700,300.65,5000.65,ERCOT,LZ_SOUTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,ISONE_HUB,208.2,49,378,635.2,0.235350624,1.81556196
"Licking County, OH",Licking,Ohio,39089,1351,1478,1698,2829,4527,PJM,AEP,Eastern,public_zonal,same_ic,,,,,LZ_HOUSTON,889.79,213.25,1240,2343.04,0.239663291,1.393587251
