param,lo_val,hi_val,depth_at_lo,depth_at_hi,range_pp
DEST_AVAIL,0.87,0.995,0.39046656923015505,0.3914538276728771,0.09872584427220721
DVFS_RELIABILITY,0.95,0.995,0.389702620269003,0.39189742398004057,0.2194803711037585
NET_OK,0.95,0.995,0.3860436472430451,0.3937269104930193,0.7683263249974204
WINDOW_OK,0.8,0.99,0.384371072709237,0.3929777560853722,0.8606683376135238
DRAIN_OK,0.9,0.98,0.3826432758064379,0.39624921451383766,1.3605938707399734
QUEUE_OK,0.65,0.98,0.3810403128887512,0.39774740414830767,1.6707091259556495
ORCH_OK,0.88,0.99,0.3788366564518414,0.39821106062370604,1.9374404171864645
NIW_SHARE,0.22,0.35,0.3819443762685974,0.4019241769631969,1.997980069459948
DVFS_HEADROOM,0.18,0.32,0.37778239744727976,0.40454924803877595,2.6766850591496194
DEST_ABSORB,0.15,0.55,0.338786667018789,0.39371652146730357,5.492985444851456
MIG_ELIG,0.45,0.85,0.34079236352464165,0.4389824121185256,9.819004859388397
