fleet_gw,fleet_mw,mean,median,p5,p95,cvar5,pct_constrained,mean_M_spatial,mean_M_defer,mean_M_DVFS,committed_mw,accredited_mw,committed_mw_p5,accredited_mw_p5,annual_avoided_base,annual_avoided_ceja
0.5,500.0,0.40030964913807954,0.40342516510668885,0.3847758202781099,0.4191640799075372,0.33085269510404297,2.46075,0.3043784497183203,0.051501991907367775,0.044429207512391856,200.15482456903976,184.14243860351658,192.38791013905495,176.99687732793058,33145638.948632985,37749199.9137209
1.0,1000.0,0.39844590960434034,0.40316844076950226,0.38064398989789777,0.4191179430200156,0.3030290506405073,4.891249999999999,0.3012287544706788,0.05219170702915845,0.045025448104503464,398.44590960434033,366.5702368359931,380.64398989789777,350.192470706066,65982642.63047876,75146898.5513786
2.0,2000.0,0.3955591293562084,0.4028382976948216,0.31801673326682933,0.4190988920449742,0.2615106271525982,6.108750000000001,0.29633502647078075,0.05327014946902611,0.045953953416401884,791.1182587124168,727.8287980154236,636.0334665336586,585.150789210966,131009183.64277624,149204903.59316182
3.0,3000.0,0.3943300591828461,0.4027808329912433,0.2894372520369784,0.4190439064037287,0.2465661198588064,6.529749999999999,0.2942508146636024,0.05372911614100097,0.04635012837824301,1182.9901775485382,1088.3509633446552,868.3117561109352,798.8468156220605,195903173.40203792,223111947.4856543
4.0,4000.0,0.3934891490888696,0.4027183984872962,0.27605945177071417,0.4190439064037287,0.23883694854501572,7.0455000000000005,0.29282635685331543,0.05404201452312999,0.04662077771242447,1573.9565963554785,1448.0400686470402,1104.2378070828568,1015.8987825162283,260647212.35646725,296848214.0726432
5.0,5000.0,0.3927863883231689,0.4026438150224968,0.2682828972779327,0.41903816778257835,0.23405669866806916,7.602250000000001,0.29163639573882666,0.05430336382374052,0.04684662876060209,1963.9319416158446,1806.8173862865772,1341.4144863896636,1234.1013274784905,325227129.5315839,370397564.1887483
6.0,6000.0,0.392129224963293,0.40256580969126127,0.2630662870325907,0.4189729980161144,0.23078053688832648,8.35325,0.29052330401498877,0.05454828083082557,0.04705764011747915,2352.775349779758,2164.5533217973775,1578.3977221955442,1452.1259044199007,389619597.92352796,443733430.9684624
8.0,8000.0,0.3902296877188231,0.4017890749119725,0.25664180084247057,0.41865251050292646,0.22651287606003961,14.637500000000001,0.2873003185609811,0.05526186516875608,0.04766750398908603,3121.837501750585,2872.0905016105385,2053.1344067397645,1888.8836542005834,516976290.2898969,588778552.8301604
10.0,10000.0,0.38545884779295375,0.39954182224365425,0.2524088493860099,0.4180941139760158,0.22377228975318422,25.697,0.2792079292196563,0.05704264905551867,0.049208269517778735,3854.5884779295375,3546.2213996951746,2524.088493860099,2322.161414351291,638319851.9451314,726975386.9375107
12.0,12000.0,0.37905969530170797,0.39689072665172587,0.24935699276326087,0.4174540714699596,0.2218044983705532,35.52675,0.2683996849779584,0.059392118981264556,0.051267891342485127,4548.7163436204955,4184.819036130856,2992.2839131591304,2752.9012001064,753267426.5035541,857887902.4068255
15.0,15000.0,0.3683466875308276,0.3908954135708606,0.24553201517914647,0.4166712292730141,0.2196327024890555,49.61825,0.25031043727640473,0.06333699644171369,0.0546992538127092,5525.2003129624145,5083.184287925422,3682.980227687197,3388.3418094722215,914973171.8265759,1042052779.0247115
